Admission,Registrar,Guidance Office,Health Services/Clinic,Library Services,Student Publication,Scholarship Services,Student Services Office,Comment,Semester,AcadYear,Block,College
3,4,4,4,4,4,4,4,"alisin na po sana ang appointment system pag pupuntang campus, dahil minsan po urgent ang pagkuha namin ng cog or reg form.",1st Semester,2021-2022,1A,CCMS
5,5,5,5,5,5,5,5,all are good,1st Semester,2021-2022,1A,IFMS
5,5,5,5,5,5,5,5,all goods,1st Semester,2021-2022,1A,BS-Fisheries
5,5,5,5,5,5,5,5,all has a great service,1st Semester,2021-2022,1A,CCMS
4,4,3,4,4,5,4,4,all has a great service,1st Semester,2021-2022,1A,IFMS
5,5,4,5,5,4,5,5,all has a great service,1st Semester,2021-2022,1A,BS-Fisheries
5,5,5,5,5,5,5,5,all i can say na sana mas maging organize or malinaw pa ang lahat na ilalabas na information.,1st Semester,2021-2022,1A,CCMS
5,5,5,5,5,5,5,5,all in all naman po is maayos ang service ng cnsc at responsive sa mga quires ng to all of us students. keep it up! po,1st Semester,2021-2022,1A,IFMS
5,5,5,5,5,5,5,5,"all the future plans of cnsc should always consider all aspects which can be involved. generally, the services of the college is great.",1st Semester,2021-2022,1A,BS-Fisheries
5,5,5,5,5,5,5,5,already enough,1st Semester,2021-2022,1A,CCMS
4,4,5,5,5,4,5,5,alway keep the fb pages of cnsc and college departments updated and active in case of inquiries of students especially during enrollment period.,1st Semester,2021-2022,1A,IFMS
5,4,5,5,5,5,4,4,alway looking at the brighter side,2nd Semester,2021-2022,1B,BS-Fisheries
5,5,5,5,5,5,5,5,alway update every student of cnsc.,2nd Semester,2021-2022,1B,CCMS
4,4,4,4,4,4,4,4,always be active,2nd Semester,2021-2022,1B,IFMS
4,4,4,4,4,4,4,4,always be good for our students all the time,2nd Semester,2021-2022,1B,BS-Fisheries
4,5,4,4,4,4,4,4,always be guided by mission and vision of the institution.,2nd Semester,2021-2022,1B,CCMS
5,5,5,5,5,5,5,5,always be humble âœ¨,2nd Semester,2021-2022,1B,IFMS
5,5,5,5,5,4,5,5,always follow the rules and regulations .,2nd Semester,2021-2022,1B,BS-Fisheries
5,5,5,5,5,5,5,5,always follow the rules and regulations of school,2nd Semester,2021-2022,1B,CCMS
5,4,4,5,4,4,5,5,always follow the rules and regulations of school,2nd Semester,2021-2022,1B,IFMS
4,4,4,4,4,4,4,4,always follow the rules and regulations of school,2nd Semester,2021-2022,1B,BS-Fisheries
5,5,5,5,5,5,5,5,always give the best service.,2nd Semester,2021-2022,1B,CCMS
5,5,5,5,5,5,5,5,always keep the service of the cnsc's better in improvement.,2nd Semester,2021-2022,1B,IFMS
5,4,5,5,5,5,5,5,always keep the service of the cnsc's better in improvement.,2nd Semester,2021-2022,1B,BS-Fisheries
5,4,4,4,5,5,4,5,always keep the service of the cnsc's better in improvement.,2nd Semester,2021-2022,1B,CCMS
4,3,4,4,4,4,4,4,always love ur student beacause other student don't have or can't feel love on there own homeðÿ˜¥,2nd Semester,2021-2022,1B,IFMS
5,5,5,5,5,5,5,5,always take responsibility,2nd Semester,2021-2022,1B,BS-Fisheries
4,4,4,4,4,4,4,4,always up to date,2nd Semester,2021-2022,1B,CCMS
5,4,4,4,4,4,4,4,always update students,2nd Semester,2021-2022,1B,IFMS
4,5,4,5,5,5,5,5,"ang akin lamang pong makokomento po ay nawa'y ipagpatuloy po natin ang pag tutulungan, at sana po ay marami papo kayong maturuan, matulungan na mga kabataan na kagaya ko upang magkaroon ng kaalaman ng sa gayun ay magagamit nila sa araw araw naming pamumuhay at upang magamit namin para sa mga panahong darating. maraming salamat po.",2nd Semester,2021-2022,1B,BS-Fisheries
3,3,3,3,3,3,3,3,ang aking komento ay ipagpatuloy pa nila ang kanilang ginagawa dahil itoy nakaka tulong sa mga magbaaral.,2nd Semester,2021-2022,1B,CCMS
4,4,4,4,4,4,4,4,ang aking komento ay sana mas mapadali pa ang pag tulong sa mga mag aaral gaya ng sa scholarship at mga hinihinging requirements sa mga offices. yun lamang po at maraming salamat,2nd Semester,2021-2022,1B,IFMS
5,5,4,5,4,5,5,5,"ang aking komento dito ay mas mapapabuti ng cnsc ang dekalidad na serbisyo sa pag papanatili nila ng ma ayos na pikikitungo sa kanilang mga estudyante sa paraang ng pagabay sa kanila, wala na po akong masasabi pa dahil para po sa akin , dekalidad na ang serbsyo ng cnsc.",2nd Semester,2021-2022,1B,BS-Fisheries
4,4,4,4,4,4,4,4,ang aking komento upang maging maayos ang dekalidad na serbisyo ng camarines norte state college ay magkaroon ng pagkakaisa upang mapunan ang sapat na pangangailangan ng bawat estudyante at mga faculty members.,2nd Semester,2021-2022,1B,CCMS
5,5,5,5,5,5,5,5,ang aking komento upang mapanatili ang maayos at dekalidad na serbisyo ng cnsc ay pag igihin pa ang mga aktibidades na ginagawa mapa face to face man o online lalo na sa panahon ngayon na medyo mahirap po ang pag aaral.,2nd Semester,2021-2022,1B,IFMS
4,4,4,4,4,4,4,4,ang aking komento upang mapanatili ang maayus at dekalidad na serbisyong paaralang camarines nortr state college ay gawin ang lahat na naaayun sa survey at maging maayus ang mga serbisyo ng paaralan.,2nd Semester,2021-2022,1B,BS-Fisheries
5,5,5,5,4,5,4,5,ang aking lamang masasabi upang mapanatili ang maayos at delikadad na serbisyo ay ang ipagpatuloy ang magandang pagpapatakbo ng institusyon at mas lalo pang maging handa sa mga darating pang taon. thank you po,2nd Semester,2021-2022,1B,CCMS
5,5,5,5,5,5,5,5,ang aking lamang masasabi upang mapanatili ang maayos at delikadad na serbisyo ay ang ipagpatuloy ang magandang pagpapatakbo ng institusyon at mas lalo pang maging handa sa mga darating pang taon. thank you po,2nd Semester,2021-2022,1B,IFMS
5,5,5,5,5,5,5,5,ang aking lamang masasabi upang mapanatili ang maayos at delikadad na serbisyo ay ang ipagpatuloy ang magandang pagpapatakbo ng institusyon at mas lalo pang maging handa sa mga darating pang taon. thank you po,2nd Semester,2021-2022,1B,BS-Fisheries
5,5,5,5,5,5,5,5,ang camarines norte state college ay mayroong maayos at maaasahan na serbisyo.,2nd Semester,2021-2022,1B,CCMS
5,5,5,5,5,5,5,5,ang eskwelahan ay laging panatilihin ang maayos at malinaw na patakaran upang ang mga bata ay sumunod ng husto.,2nd Semester,2021-2022,1B,IFMS
5,5,5,5,5,5,5,5,ang inyo pong pagmamahal at pagmamalasakit sa amin ang syang dahilan sa pagkakaroon ng maayos at dekalidad na serbisyo. lubos po kaming nagpapasalamat. sana po ay magpatuloy ito.,2nd Semester,2021-2022,1B,BS-Fisheries
5,5,5,5,5,5,5,5,ang kailangan ay pagkakaisa patingin sa dekalidad na serbisyo ng camarines norte state college.,2nd Semester,2021-2022,1B,CCMS
5,5,5,5,5,5,5,5,ang kalidad ng serbisyo ay panatilihin upang higit na maayos ang bawat impormasyon..,2nd Semester,2021-2022,1B,IFMS
5,5,5,5,5,5,5,5,"ang komento ko po upang mapanatili ang maayos ay dekalidad na serbisyo ng cnsc ay panatilihing maganda at mabilis ang mga proseso ng kung ano ang hinihingi o kinakailagan ng mga estudyante sa mga offices, at wag po maging sungit yung ibang staffs poðÿ˜š",2nd Semester,2021-2022,1B,BS-Fisheries
5,5,5,5,5,5,5,5,ang maayos na patalaran at pag sunod nito,2nd Semester,2021-2022,1B,CCMS
3,2,3,2,3,2,2,3,ang magkaroon ng disiplinadong lider bawat block ay aking inaasahan.,2nd Semester,2021-2022,1B,IFMS
4,4,4,4,4,4,4,4,ang masasabi ko lang ay sana naman magbigay ng kunting konsiderasyon ang ibang instructor sa mga studyante.salamat,2nd Semester,2021-2022,1B,BS-Fisheries
5,5,5,5,5,5,5,5,ang masasabi ko lang po sa serbisyo nag cnsc maganda ang pakikitungo at maayos din po ang kalidad at pakikisama at yon lang po ang aking masasabi sa serbisyo ng cnsc para sakin.,2nd Semester,2021-2022,1B,CCMS
5,5,5,5,5,5,5,5,"ang mga anunsyo, impormasyon, o notis ay dapat ipinadadala sa email ng mga dapat nakaalam ng mga ito, lalo nakung ito ay patungkol sa scholarship o espesyal o importante na programa na galing sa guidance office.at sana po ay kung meron man academic institution account ang cnsc na ginagamit upang magkaroon ng free access sa mga research publications, case studies, or journals ay maibahagi din sa mga estudyante ng paaralang ito.",2nd Semester,2021-2022,1B,IFMS
4,4,4,3,4,4,4,4,ang mga empleyado ay panatilihing approachable at malawak ang pang unawa,2nd Semester,2021-2022,1B,BS-Fisheries
5,5,5,5,5,5,5,5,ang mga estudyante at instructor ay patuloy na sumunod sa mga regulations ng camarines norte state college.,2nd Semester,2021-2022,1B,CCMS
5,5,5,5,5,5,5,5,ang mga ilan na isyu patungkol sa makabagong sistema ng pag aaral ay hindi naisama sa mga katanungan na siyang maaring kinakaharap ng karamihang mag aaral.,2nd Semester,2021-2022,1B,IFMS
5,5,4,5,4,5,4,5,ang mga information ay mabilis na naipapadala.,2nd Semester,2021-2022,1B,BS-Fisheries
4,4,4,4,4,4,5,4,ang mga nasabi dito ay tama para sa akin ang mga serbisyo n nabanggit ay naayun sa pangangailangan at dapat gawin,2nd Semester,2021-2022,1B,CCMS
5,5,5,5,5,5,5,5,ang mga naturang serbisyo ay maituturing na kamangha-mangha gayunpaman sa mas epektibong pakikipag-ugnayan sa mag-aaral ay makapagdudulot ng mas kanais-nais na komunidad sa loob ng paaralan.,1st Semester,2022-2023,1C,IFMS
5,5,5,5,5,5,5,5,ang mga pasilidad para sa isports ay dapat na mapakinabangan ng mg amag aaral at ibang sector kung kinakailangan,1st Semester,2022-2023,1C,BS-Fisheries
4,4,5,5,5,4,4,4,ang mga serbisyo ay dapat mas pagbutihin pa,1st Semester,2022-2023,1C,CCMS
4,4,4,4,4,4,4,4,ang mga serbisyo ay dapat mas pagbutihin pa,1st Semester,2022-2023,1C,IFMS
4,5,5,5,5,5,4,5,"ang pag bibigay ng mahusay at maayos na impormasyon sa bawat kurso ng cnsc ay nakapag bibigay ugnayan sa lahat upang makalap ang mga impormasyong naayon rito, sana ay tuloy tuloy ang serbisyo na inyong ginagawa at ipinapatupad.",1st Semester,2022-2023,1C,BS-Fisheries
5,5,5,5,5,5,5,5,ang pag papanatili ng maayos at dekalidad na serbisyo ay nakadepende parin sa institution at pagbibigay nito.,1st Semester,2022-2023,1C,CCMS
5,5,5,5,5,5,5,5,ang pag pili ng isang mamumuno ay kinakailangan ng maayus na pamimili,1st Semester,2022-2023,1C,IFMS
5,4,4,4,4,4,4,4,ang pag sunod sa mga palatuntunin ang isa mga paraan upang mapanatili ang maayos at dekalidad na serbisyo,1st Semester,2022-2023,1C,BS-Fisheries
3,3,3,3,3,3,3,3,"ang pagkakaroon ng maayos at mabilis na sistema sa pag aassist sa mga estudyante lalo na sa pag kukuha ng kanilang mga kailangan na papeles katulad ng cog, cor, reg form atbp.",1st Semester,2022-2023,1C,CCMS
5,5,4,4,5,5,5,5,"ang pagkakaroon ng maayos at mabilis na sistema sa pag aassist sa mga estudyante lalo na sa pag kukuha ng kanilang mga kailangan na papeles katulad ng cog, cor, reg form atbp.",1st Semester,2022-2023,1C,IFMS
4,5,5,5,5,5,5,5,"ang pagkakaroon ng maayos at mabilis na sistema sa pag aassist sa mga estudyante lalo na sa pag kukuha ng kanilang mga kailangan na papeles katulad ng cog, cor, reg form atbp.",1st Semester,2022-2023,1C,BS-Fisheries
4,5,4,5,4,4,5,4,ang pagkakaroon ng maayos na communication sa bawat isa .at pag papahalaga sa opinion ng mga aaral .,1st Semester,2022-2023,1C,CCMS
4,5,5,4,5,5,5,5,ang pagkakaroon ng maayos na komunikasyon sa mga estudyante ay makakabuti.,1st Semester,2022-2023,1C,IFMS
5,5,5,5,5,5,5,5,ang pagkakaroon ng maayos na komunikasyon sa mga estudyante ay makakabuti.,1st Semester,2022-2023,1C,BS-Fisheries
5,5,5,5,5,5,5,5,ang pagkakaroon ng maayos na komunikasyon sa mga estudyante ay makakabuti.,1st Semester,2022-2023,1C,CCMS
3,3,4,4,4,4,3,4,"ang pagkakaroon ng malayang paggamit sa sasakyang paneskwelahan, upang makapunta sa main campus, para makahingi ng tulong lalo na ngayong practice teaching namin, at taga college of education ang aming mga cooperating teachers",1st Semester,2022-2023,1C,IFMS
3,4,5,5,4,4,5,4,ang pagkaroon ng maayos na staff ay isang paraan upang maging maayos at dekalidad na serbisyo.,1st Semester,2022-2023,1C,BS-Fisheries
5,5,5,5,5,5,5,5,ang pagpapanatili ng maayos at maykalidad na serbisyo ay makakatulong upang higit na mapaganda ang trabaho ng bawat sistema nito.,1st Semester,2022-2023,1C,CCMS
3,4,4,3,4,4,4,4,ang panatilihin ang pag-intindi sa situwasiyon ng bawat estudiyante ng kolehiyo ng cnsc sa panahon ng pandemiya.,1st Semester,2022-2023,1C,IFMS
5,5,5,5,5,5,5,5,ang pgpapanatili ng maayos na pang unawa sa bawat sitwasyon ng isang estudyante o mag-aaral ng cnsc hinggil sa kanilang pag- aaral ay sapat na.,1st Semester,2022-2023,1C,BS-Fisheries
5,4,5,5,5,5,5,5,ang serbisyo ng institusyon para saakin ay sapat na o mas higit may konti lamang bagay na mas bigyan pansin upang mas maging epektibo pa ito.,1st Semester,2022-2023,1C,CCMS
2,4,4,4,4,4,3,3,ang serbisyo ng institusyon para saakin ay sapat na o mas higit may konti lamang bagay na mas bigyan pansin upang mas maging epektibo pa ito.,1st Semester,2022-2023,1C,IFMS
5,5,5,4,5,5,5,5,ang serbisyo nila ang nanatiling maayos,1st Semester,2022-2023,1C,BS-Fisheries
5,5,5,5,5,5,5,5,ang serbisyong handog ng cnsc ay lubhang napakahusay wala na akong maidaragdag pa,1st Semester,2022-2023,1C,CCMS
4,3,5,2,4,5,3,5,"ang student records po ay hindi masyadong namomonitor, kaya't minsan ay nagkaka gulo tungkol sa nawawalang grado ng estudyante.",1st Semester,2022-2023,1C,IFMS
3,4,4,3,3,3,3,3,announcement should be relay to the student 2days to 1 week before po,1st Semester,2022-2023,1C,BS-Fisheries
5,5,5,5,5,5,5,5,appreciate the efforts of everyone in the faculty. thank you for your service!,1st Semester,2022-2023,1C,CCMS
5,5,5,4,5,5,4,5,approved,1st Semester,2022-2023,1C,IFMS
5,5,5,4,5,5,5,5,"as a first year student po, okay naman lahat. satisfied po ako sa serbisyo ng cnsc. godbless po",1st Semester,2022-2023,1C,BS-Fisheries
5,5,5,5,5,5,5,5,"as a student of cnsc, i don't have any suggestions because the services given by the institution are truly commendable and admirable.",1st Semester,2022-2023,1C,CCMS
4,4,4,4,4,4,4,4,"as far as i am aware of, cnsc is a school that defines quality very well. just hoping a bestestest future to my school.",1st Semester,2022-2023,1C,IFMS
5,4,4,4,5,5,4,5,"as far as i am aware of, cnsc is a school that defines quality very well. just hoping a bestestest future to my school.",1st Semester,2022-2023,1C,BS-Fisheries
4,5,4,4,4,5,5,5,"as far as i am aware of, cnsc is a school that defines quality very well. just hoping a bestestest future to my school.",1st Semester,2022-2023,1C,CCMS
4,4,4,4,4,4,4,4,ayon sa aking opinyon napakaayos na at may mataas na serbisyo ang institusyon ng camarines norte state college,1st Semester,2022-2023,1C,IFMS
5,5,5,5,5,5,5,5,ayos at dekalidad na ang serbisyo ng cnsc.,1st Semester,2022-2023,1C,BS-Fisheries
4,4,4,4,4,4,4,4,ayos at dekalidad na ang serbisyo ng cnsc.,1st Semester,2022-2023,1C,CCMS
5,5,5,5,5,5,5,5,ayos at dekalidad na ang serbisyo ng cnsc.,1st Semester,2022-2023,1C,IFMS
3,4,4,4,4,4,4,4,ayos keep up the good work!,1st Semester,2022-2023,1C,BS-Fisheries
4,4,5,4,4,5,5,4,ayos lang,1st Semester,2022-2023,1C,CCMS
4,5,4,5,4,4,5,4,ayos lang,1st Semester,2022-2023,1C,IFMS
5,5,5,5,5,5,5,5,ayos lang,2nd Semester,2022-2023,2A,BS-Fisheries
4,4,4,4,4,4,4,4,ayos naman ang lahat,2nd Semester,2022-2023,2A,CCMS
4,3,4,4,3,3,4,4,"bagaman maayos ang serbisyo ang cnsc, may ilan parin kailangan pag tuunan at mapaunlad ang serbisyo.",2nd Semester,2022-2023,2A,IFMS
4,4,4,4,4,4,4,4,bagong transfer palang po ako hehe,2nd Semester,2022-2023,2A,BS-Fisheries
5,4,4,5,5,5,5,5,bagong transfer palang po ako hehe,2nd Semester,2022-2023,2A,CCMS
5,5,5,5,5,5,4,5,bagong transfer palang po ako hehe,2nd Semester,2022-2023,2A,IFMS
5,5,5,5,5,5,5,5,"balita ko po kay pinapahiram kayong laptop para sa mga engeenering na walang pambili, ask ko lang po if available pa po bah mang hiram? thank you po agad",2nd Semester,2022-2023,2A,BS-Fisheries
5,5,4,5,4,4,4,5,base sa akin karanasan sa paraalang ito ay wala na akong ibabg uihilingin pa dahil ayos naman ang aking naging pag aaral dito.,2nd Semester,2022-2023,2A,CCMS
4,5,4,5,5,5,4,5,basta maayos na pakikipag-interact sa mga students.,2nd Semester,2022-2023,2A,IFMS
4,4,4,4,4,4,4,4,be a good citizen in our school.,2nd Semester,2022-2023,2A,BS-Fisheries
5,5,5,5,5,5,5,5,be a good leader of the school staff or organization and be respectful to everyone.,2nd Semester,2022-2023,2A,CCMS
5,5,5,5,5,5,5,5,"be a good staff/teacher, i will be a good student.(vise versa)",2nd Semester,2022-2023,2A,IFMS
5,5,5,5,5,5,5,5,be always responsible,2nd Semester,2022-2023,2A,BS-Fisheries
4,4,4,4,4,4,4,4,be approachable always.,2nd Semester,2022-2023,2A,CCMS
5,5,5,5,5,5,5,5,be approachable always.,2nd Semester,2022-2023,2A,IFMS
5,5,4,5,5,5,5,5,be considerate,2nd Semester,2022-2023,2A,BS-Fisheries
5,5,5,5,5,5,5,5,be considerate to the student kasi may mga pinagdadaanan din sila aside from school works.,2nd Semester,2022-2023,2A,CCMS
5,5,5,5,5,5,5,5,be consistent lang po sa ginagawa niyo.,2nd Semester,2022-2023,2A,IFMS
3,4,5,5,5,5,5,5,be consistent lang po sa ginagawa niyo.,2nd Semester,2022-2023,2A,BS-Fisheries
5,5,5,5,5,5,5,5,be consistent lang po sa ginagawa niyo.,2nd Semester,2022-2023,2A,CCMS
5,5,5,5,5,5,5,5,be consistent po.,2nd Semester,2022-2023,2A,IFMS
4,5,5,5,4,4,5,5,be consistent po.,2nd Semester,2022-2023,2A,BS-Fisheries
5,5,5,5,5,5,5,5,be consistent since everything seems good.,2nd Semester,2022-2023,2A,CCMS
4,5,4,3,4,5,4,5,be consistent thats all,2nd Semester,2022-2023,2A,IFMS
4,4,5,5,4,5,4,5,be consistent.,2nd Semester,2022-2023,2A,BS-Fisheries
3,3,3,3,3,3,3,3,be courteous and accommodating lalo po un mga empleyado sa accounting office. medyo po masusungit.,2nd Semester,2022-2023,2A,CCMS
4,4,5,5,5,4,4,4,be happy on what you're doing.,2nd Semester,2022-2023,2A,IFMS
5,5,5,5,5,5,5,5,be kind always,2nd Semester,2022-2023,2A,BS-Fisheries
4,4,4,5,4,4,4,4,"be mindful of inclusivity in documents or surveys. for example, when using pronouns, use ""they"" instead of ""he/she."" the former is much easier than the latter. and this includes all genders, not just the 2 binary labels. you can do more research on how to be inclusive, even in simple documents.",2nd Semester,2022-2023,2A,CCMS
5,5,4,4,4,5,5,5,"be mindful of inclusivity in documents or surveys. for example, when using pronouns, use ""they"" instead of ""he/she."" the former is much easier than the latter. and this includes all genders, not just the 2 binary labels. you can do more research on how to be inclusive, even in simple documents.",2nd Semester,2022-2023,2A,IFMS
5,3,5,5,5,5,5,5,"be mindful of inclusivity in documents or surveys. for example, when using pronouns, use ""they"" instead of ""he/she."" the former is much easier than the latter. and this includes all genders, not just the 2 binary labels. you can do more research on how to be inclusive, even in simple documents.",2nd Semester,2022-2023,2A,BS-Fisheries
5,4,4,5,5,3,5,5,be more accessible,2nd Semester,2022-2023,2A,CCMS
5,5,5,5,5,5,5,5,be more accessible,2nd Semester,2022-2023,2A,IFMS
5,5,5,5,5,5,5,5,be more accessible,2nd Semester,2022-2023,2A,BS-Fisheries
5,4,4,4,5,5,5,5,"be more accessible, especially now in distance learning",2nd Semester,2022-2023,2A,CCMS
5,5,5,5,5,5,5,5,"be more accessible, especially now in distance learning",2nd Semester,2022-2023,2A,IFMS
5,5,5,5,5,5,5,5,"be more accessible, especially now in distance learning",2nd Semester,2022-2023,2A,BS-Fisheries
5,5,4,4,5,5,5,5,be more approachable,2nd Semester,2022-2023,2A,CCMS
4,4,4,5,4,4,4,4,be more considerate to students problem in terms of online classes.,2nd Semester,2022-2023,2A,IFMS
5,5,5,5,5,5,5,5,be more flexible,2nd Semester,2022-2023,2A,BS-Fisheries
4,4,5,5,4,4,4,4,be more open with dialogue with the students,2nd Semester,2022-2023,2A,CCMS
4,4,4,4,4,4,4,4,be more organize,2nd Semester,2022-2023,2A,IFMS
4,4,4,4,4,4,4,4,be more organized to those students who are not capable in grasping their schedules and gc's,2nd Semester,2022-2023,2A,BS-Fisheries
2,2,3,2,3,2,2,3,be more systematic and more option for the problem of requirment,2nd Semester,2022-2023,2A,CCMS
5,5,5,5,5,5,5,5,be nice and understanding to everyone,2nd Semester,2022-2023,2A,IFMS
5,4,4,5,5,5,5,5,be nice to everyone.,2nd Semester,2022-2023,2A,BS-Fisheries
4,4,4,4,4,4,4,5,be observant and be considerate to students,2nd Semester,2022-2023,2A,CCMS
5,5,5,5,5,5,5,5,be open for the suggestion in order to have a peace and at a high quality of service and to maintain it,2nd Semester,2022-2023,2A,IFMS
5,5,5,5,5,5,5,5,be patient,2nd Semester,2022-2023,2A,BS-Fisheries
5,4,4,4,4,5,5,5,be patient.,1st Semester,2021-2022,2B,CCMS
4,4,4,4,4,4,4,4,be polite as possible,1st Semester,2021-2022,2B,IFMS
4,5,5,5,5,5,5,5,be professional and provide high and advance of education to all students,1st Semester,2021-2022,2B,BS-Fisheries
5,5,5,5,5,5,5,5,be professional and provide high and advance of education to all students,1st Semester,2021-2022,2B,CCMS
4,4,4,4,4,4,4,4,be professional and provide high and advance of education to all students,1st Semester,2021-2022,2B,IFMS
4,4,4,4,4,4,4,4,be responsible,1st Semester,2021-2022,2B,BS-Fisheries
5,5,5,5,5,5,5,5,be responsible,1st Semester,2021-2022,2B,CCMS
5,5,5,5,5,5,5,5,be responsible,1st Semester,2021-2022,2B,IFMS
4,4,4,4,4,4,4,4,"be responsible , especially the students.",1st Semester,2021-2022,2B,BS-Fisheries
